Author,Genre,Name,Year,Price,Reviews,User Rating
JJ Smith,Non Fiction,10-Day Green Smoothie Cleanse,2016,8,17350,4.7
Stephen King,Fiction,11/22/63: A Novel,2011,22,2052,4.6
Jordan B. Peterson,Non Fiction,12 Rules for Life: An Antidote to Chaos,2018,15,18979,4.7
George Orwell,Fiction,1984 (Signet Classics),2017,6,21424,4.7
National Geographic Kids,Non Fiction,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",2019,12,7665,4.8
George R. R. Martin,Fiction,A Dance with Dragons (A Song of Ice and Fire),2011,11,12643,4.4
George R. R. Martin,Fiction,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,2014,30,19735,4.7
Amor Towles,Fiction,A Gentleman in Moscow: A Novel,2017,15,19699,4.7
James Comey,Non Fiction,"A Higher Loyalty: Truth, Lies, and Leadership",2018,3,5983,4.7
Fredrik Backman,Fiction,A Man Called Ove: A Novel,2016,8,23848,4.6
Fredrik Backman,Fiction,A Man Called Ove: A Novel,2017,8,23848,4.6
Larry Schweikart,Non Fiction,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,2010,2,460,4.6
Jaycee Dugard,Non Fiction,A Stolen Life: A Memoir,2011,32,4149,4.6
Madeleine L'Engle,Fiction,A Wrinkle in Time (Time Quintet),2018,5,5153,4.5
Steve Harvey,Non Fiction,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",2009,17,5013,4.6
Adult Coloring Book Designs,Non Fiction,"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",2016,4,2313,4.5
Blue Star Coloring,Non Fiction,Adult Coloring Book: Stress Relieving Animal Designs,2015,6,2925,4.6
Blue Star Coloring,Non Fiction,Adult Coloring Book: Stress Relieving Patterns,2015,6,2951,4.4
Coloring Books for Adults,Non Fiction,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisleyâ€¦",2015,8,2426,4.5
Ron Chernow,Non Fiction,Alexander Hamilton,2016,13,9198,4.8
Anthony Doerr,Fiction,All the Light We Cannot See,2014,14,36348,4.6
Anthony Doerr,Fiction,All the Light We Cannot See,2015,14,36348,4.6
Veronica Roth,Fiction,Allegiant,2013,13,6310,3.9
Chris Kyle,Non Fiction,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,2015,9,15921,4.6
Khaled Hosseini,Fiction,And the Mountains Echoed,2013,13,12159,4.3
Glenn Beck,Non Fiction,Arguing with Idiots: How to Stop Small Minds and Big Government,2009,5,798,4.6
Neil deGrasse Tyson,Non Fiction,Astrophysics for People in a Hurry,2017,9,9374,4.7
Mark Twain,Non Fiction,"Autobiography of Mark Twain, Vol. 1",2010,14,491,4.2
DK,Non Fiction,Baby Touch and Feel: Animals,2015,5,5360,4.6
Angie Grace,Non Fiction,Balance (Angie's Extreme Stress Menders),2015,11,1909,4.6
Ina Garten,Non Fiction,Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,2012,24,1296,4.8
Ina Garten,Non Fiction,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",2010,21,615,4.7
Michelle Obama,Non Fiction,Becoming,2018,11,61133,4.8
Michelle Obama,Non Fiction,Becoming,2019,11,61133,4.8
Atul Gawande,Non Fiction,Being Mortal: Medicine and What Matters in the End,2015,15,11113,4.8
Ta-Nehisi Coates,Non Fiction,Between the World and Me,2015,13,10070,4.7
Ta-Nehisi Coates,Non Fiction,Between the World and Me,2016,13,10070,4.7
Bruce Springsteen,Non Fiction,Born to Run,2016,18,3729,4.7
Stephenie Meyer,Fiction,"Breaking Dawn (The Twilight Saga, Book 4)",2009,13,9769,4.6
Glenn Beck,Non Fiction,"Broke: The Plan to Restore Our Trust, Truth and Treasure",2010,8,471,4.5
Bill Martin Jr.,Fiction,"Brown Bear, Brown Bear, What Do You See?",2017,5,14344,4.9
Bill Martin Jr.,Fiction,"Brown Bear, Brown Bear, What Do You See?",2019,5,14344,4.9
Jeff Kinney,Fiction,"Cabin Fever (Diary of a Wimpy Kid, Book 6)",2011,0,4505,4.8
Sasha O'Hara,Non Fiction,Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),2016,4,10369,4.6
David Goggins,Non Fiction,Can't Hurt Me: Master Your Mind and Defy the Odds,2019,18,16244,4.8
Thomas Piketty,Non Fiction,Capital in the Twenty First Century,2014,28,2884,4.5
Suzanne Collins,Fiction,Catching Fire (The Hunger Games),2010,11,22614,4.7
Suzanne Collins,Fiction,Catching Fire (The Hunger Games),2011,11,22614,4.7
Suzanne Collins,Fiction,Catching Fire (The Hunger Games),2012,11,22614,4.7
Chrissy Teigen,Non Fiction,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,2016,16,4761,4.7
Francis Chan,Non Fiction,Crazy Love: Overwhelmed by a Relentless God,2009,14,1542,4.7
Francis Chan,Non Fiction,Crazy Love: Overwhelmed by a Relentless God,2010,14,1542,4.7
Francis Chan,Non Fiction,Crazy Love: Overwhelmed by a Relentless God,2011,14,1542,4.7
Kevin Kwan,Fiction,Crazy Rich Asians (Crazy Rich Asians Trilogy),2018,8,6143,4.3
Marjorie Sarnat,Non Fiction,Creative Haven Creative Cats Coloring Book (Adult Coloring),2015,4,4022,4.8
Marjorie Sarnat,Non Fiction,Creative Haven Owls Coloring Book (Adult Coloring),2015,5,3871,4.8
Abraham Verghese,Fiction,Cutting for Stone,2010,11,4866,4.6
Abraham Verghese,Fiction,Cutting for Stone,2011,11,4866,4.6
BreneÌ Brown,Non Fiction,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",2013,10,1329,4.8
Malcolm Gladwell,Non Fiction,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",2013,13,4642,4.4
Charlaine Harris,Fiction,Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),2009,4,1541,4.6
Charlaine Harris,Fiction,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",2010,8,1924,4.3
Charlaine Harris,Fiction,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",2011,4,2094,4.2
Rod Campbell,Fiction,Dear Zoo: A Lift-the-Flap Book,2015,5,10922,4.8
Rod Campbell,Fiction,Dear Zoo: A Lift-the-Flap Book,2016,5,10922,4.8
Rod Campbell,Fiction,Dear Zoo: A Lift-the-Flap Book,2017,5,10922,4.8
Rod Campbell,Fiction,Dear Zoo: A Lift-the-Flap Book,2018,5,10922,4.8
George W. Bush,Non Fiction,Decision Points,2010,17,2137,4.6
Tony Hsieh,Non Fiction,"Delivering Happiness: A Path to Profits, Passion, and Purpose",2010,15,1651,4.6
American Psychiatric Association,Non Fiction,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",2013,105,6679,4.5
American Psychiatric Association,Non Fiction,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",2014,105,6679,4.5
Jeff Kinney,Fiction,"Diary of a Wimpy Kid: Hard Luck, Book 8",2013,0,6812,4.8
Jeff Kinney,Fiction,Diary of a Wimpy Kid: The Last Straw (Book 3),2009,15,3837,4.8
Jeff Kinney,Fiction,Diary of a Wimpy Kid: The Long Haul,2014,22,6540,4.8
M Prefontaine,Non Fiction,Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),2019,5,7955,4.6
Veronica Roth,Fiction,Divergent,2013,15,27098,4.6
Veronica Roth,Fiction,Divergent,2014,15,27098,4.6
Veronica Roth,Fiction,Divergent / Insurgent,2014,6,17684,4.5
Zhi Gang Sha,Non Fiction,"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and Allâ€¦",2009,6,37,4.6
Stephen King,Fiction,Doctor Sleep: A Novel,2013,13,15845,4.7
Jeff Kinney,Fiction,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",2009,12,3181,4.8
Dav Pilkey,Fiction,Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),2018,6,5062,4.9
Dav Pilkey,Fiction,Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),2017,8,4786,4.9
Dav Pilkey,Fiction,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),2018,4,7235,4.9
Dav Pilkey,Fiction,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),2019,4,7235,4.9
Dav Pilkey,Fiction,Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),2019,8,12619,4.9
Dav Pilkey,Fiction,Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),2019,8,9089,4.9
Dav Pilkey,Fiction,Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),2018,6,5470,4.9
Jeff Kinney,Fiction,Double Down (Diary of a Wimpy Kid #11),2016,20,5118,4.8
Marty Noble,Non Fiction,Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),2015,5,2134,4.6
Daniel H. Pink,Non Fiction,Drive: The Surprising Truth About What Motivates Us,2010,16,2525,4.5
David Zinczenko,Non Fiction,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,2009,1,720,4.5
David Zinczenko,Non Fiction,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",2009,14,956,4.3
Joel Fuhrman MD,Non Fiction,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",2011,9,6346,4.5
Joel Fuhrman MD,Non Fiction,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",2012,9,6346,4.5
Stephenie Meyer,Fiction,Eclipse (Twilight Sagas),2009,7,5505,4.7
Stephenie Meyer,Fiction,Eclipse (Twilight),2009,18,5505,4.7
Tara Westover,Non Fiction,Educated: A Memoir,2018,15,28729,4.7
Tara Westover,Non Fiction,Educated: A Memoir,2019,15,28729,4.7
Johanna Basford,Non Fiction,"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Printsâ€¦",2015,9,5413,4.7
Ray Bradbury,Fiction,Fahrenheit 451,2016,8,10721,4.6
Ray Bradbury,Fiction,Fahrenheit 451,2018,8,10721,4.6
J.K. Rowling,Fiction,Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),2016,15,4370,4.7
Bob Woodward,Non Fiction,Fear: Trump in the White House,2018,2,6042,4.4
E L James,Fiction,Fifty Shades Darker,2012,7,23631,4.4
E L James,Fiction,Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),2012,11,20262,4.5
E L James,Fiction,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),2012,14,47265,3.8
E L James,Fiction,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),2013,14,47265,3.8
E L James,Fiction,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),2012,32,13964,4.5
Michael Wolff,Non Fiction,Fire and Fury: Inside the Trump White House,2018,6,13677,4.2
Roger Priddy,Non Fiction,First 100 Words,2014,4,17323,4.7
Roger Priddy,Non Fiction,First 100 Words,2015,4,17323,4.7
Roger Priddy,Non Fiction,First 100 Words,2016,4,17323,4.7
Roger Priddy,Non Fiction,First 100 Words,2017,4,17323,4.7
Roger Priddy,Non Fiction,First 100 Words,2018,4,17323,4.7
Michael Pollan,Non Fiction,Food Rules: An Eater's Manual,2010,9,1555,4.4
RH Disney,Fiction,Frozen (Little Golden Book),2014,0,3642,4.7
John Heilemann,Non Fiction,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",2010,9,1215,4.4
George R.R. Martin,Fiction,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,2011,5,5594,4.6
George R.R. Martin,Fiction,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,2012,5,5594,4.6
George R.R. Martin,Fiction,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,2013,5,5594,4.6
Peter A. Lillback,Non Fiction,George Washington's Sacred Fire,2010,20,408,4.5
Brian Kilmeade,Non Fiction,George Washington's Secret Six: The Spy Ring That Saved the American Revolution,2013,16,4799,4.6
Giles Andreae,Fiction,Giraffes Can't Dance,2015,4,14038,4.8
Giles Andreae,Fiction,Giraffes Can't Dance,2016,4,14038,4.8
Giles Andreae,Fiction,Giraffes Can't Dance,2017,4,14038,4.8
Giles Andreae,Fiction,Giraffes Can't Dance,2018,4,14038,4.8
Giles Andreae,Fiction,Giraffes Can't Dance,2019,4,14038,4.8
Rachel Hollis,Non Fiction,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",2019,12,7660,4.6
Rachel Hollis,Non Fiction,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",2018,12,22288,4.6
Rachel Hollis,Non Fiction,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",2019,12,22288,4.6
Glenn Beck,Non Fiction,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",2009,11,1365,4.6
Harper Lee,Fiction,Go Set a Watchman: A Novel,2015,19,14982,3.6
Adam Mansbach,Fiction,Go the F**k to Sleep,2011,9,9568,4.8
Sarah Palin,Non Fiction,Going Rogue: An American Life,2009,6,1636,4.6
Gillian Flynn,Fiction,Gone Girl,2012,10,57271,4
Gillian Flynn,Fiction,Gone Girl,2013,10,57271,4
Gillian Flynn,Fiction,Gone Girl,2014,9,57271,4
Pretty Simple Press,Non Fiction,Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,2019,6,10141,4.6
Jim Collins,Non Fiction,Good to Great: Why Some Companies Make the Leap and Others Don't,2009,14,3457,4.5
Jim Collins,Non Fiction,Good to Great: Why Some Companies Make the Leap and Others Don't,2010,14,3457,4.5
Jim Collins,Non Fiction,Good to Great: Why Some Companies Make the Leap and Others Don't,2011,14,3457,4.5
Jim Collins,Non Fiction,Good to Great: Why Some Companies Make the Leap and Others Don't,2012,14,3457,4.5
Margaret Wise Brown,Fiction,Goodnight Moon,2017,5,8837,4.8
Margaret Wise Brown,Fiction,Goodnight Moon,2018,5,8837,4.8
Margaret Wise Brown,Fiction,Goodnight Moon,2019,5,8837,4.8
Sherri Duskey Rinker,Fiction,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",2012,7,7038,4.9
Sherri Duskey Rinker,Fiction,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",2013,7,7038,4.9
David Perlmutter MD,Non Fiction,"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",2014,10,5972,4.6
E L James,Fiction,Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),2015,14,25624,4.4
Raina Telgemeier,Non Fiction,Guts,2019,7,5476,4.8
Lin-Manuel Miranda,Non Fiction,Hamilton: The Revolution,2016,54,5867,4.9
Phil Robertson,Non Fiction,"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",2013,11,4148,4.8
J.K. Rowling,Fiction,"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",2016,30,19622,4.9
J.K. Rowling,Fiction,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",2016,12,23973,4
J. K. Rowling,Fiction,"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",2019,18,7758,4.9
J.K. Rowling,Fiction,"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",2017,30,3146,4.9
J.K. Rowling,Fiction,"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",2016,22,10052,4.9
Scholastic,Non Fiction,Harry Potter Coloring Book,2015,9,3564,4.7
J. K. Rowling,Fiction,Harry Potter Paperback Box Set (Books 1-7),2016,52,13471,4.8
Mitch Albom,Non Fiction,Have a Little Faith: A True Story,2009,4,1930,4.8
Todd Burpo,Non Fiction,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,2011,10,15779,4.7
Todd Burpo,Non Fiction,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,2012,10,15779,4.7
J. D. Vance,Non Fiction,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,2016,14,15526,4.4
J. D. Vance,Non Fiction,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,2017,14,15526,4.4
Joanna Gaines,Non Fiction,Homebody: A Guide to Creating Spaces You Never Want to Leave,2018,22,3776,4.8
Dale Carnegie,Non Fiction,How to Win Friends & Influence People,2014,11,25001,4.7
Dale Carnegie,Non Fiction,How to Win Friends & Influence People,2015,11,25001,4.7
Dale Carnegie,Non Fiction,How to Win Friends & Influence People,2016,11,25001,4.7
Dale Carnegie,Non Fiction,How to Win Friends & Influence People,2017,11,25001,4.7
Dale Carnegie,Non Fiction,How to Win Friends & Influence People,2018,11,25001,4.7
Howard Stern,Non Fiction,Howard Stern Comes Again,2019,16,5272,4.3
Brandon Stanton,Non Fiction,Humans of New York,2013,15,3490,4.8
Brandon Stanton,Non Fiction,Humans of New York,2014,15,3490,4.8
Brandon Stanton,Non Fiction,Humans of New York : Stories,2015,17,2812,4.9
Allie Brosh,Non Fiction,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",2013,17,4896,4.7
Hopscotch Girls,Non Fiction,"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",2019,7,9737,4.8
James Patterson,Fiction,"I, Alex Cross",2009,7,1320,4.6
Ann Whitford Paul,Fiction,If Animals Kissed Good Night,2017,4,16643,4.8
Ann Whitford Paul,Fiction,If Animals Kissed Good Night,2019,4,16643,4.8
Gayle Forman,Fiction,If I Stay,2014,9,7153,4.3
